raw_material_type_id,name
1,'Fatty Acid'
2,'Flavoring Agent'
3,'Emulsifier'
4,'Preservative'
5,'Colorant'
6,'Thickenant'
7,'Solvent'
8,'Texture Modulator'
9,'Stabilizer'
10,'Antioxidant'
11,'pH Adjuster'
12,'Foaming Agent'
13,'Humectant'
14,'Crystallization Inhibitor'
15,'Detergent Builder'
16,'Surfactant'
17,'Skin Conditioning Agent'
18,'Mouthfeel Modulator'
19,'Volatile Compound'
20,'Sensory Evaluator'
21,'pH Adjusting Agent'
22,'Anticaking Agent'
23,'Anti-foaming Agent'
24,'Fungicide'
25,'Pest Control Agent'
26,'Insect Repellent'
27,'Skin Discolorant'
28,'Hair Dye'
29,'Textile Finisher'
30,'Coating Agent'
31,'Corrosion Inhibitor'
32,'Biocide'
33,'Sanitizing Agent'
34,'Deodorizing Agent'
35,'Air Freshener'
36,'Odor Absorber'
37,'Volatile Compound'
38,'Flavor Enhancer'
39,'Texture Modifier'
40,'Stability Improver'
41,'pH Buffering Agent'
42,'Solubility Enhancer'
43,'Crystallization Promoter'
44,'Yield Improver'
45,'Foaming Booster'
46,'Humectant'
47,'Moisture Retention Agent'
48,'Skin Moisturizer'
49,'Hair Moisturizer'
50,'Textile Softener'
51,'pH Adjusting Agent'
52,'Anticaking Agent'
53,'Anti-foaming Agent'
54,'Fungicide'
55,'Pest Control Agent'
56,'Insect Repellent'
57,'Skin Discolorant'
58,'Hair Dye'
59,'Textile Finisher'
60,'Coating Agent'
61,'Corrosion Inhibitor'
62,'Biocide'
63,'Sanitizing Agent'
64,'Deodorizing Agent'
65,'Air Freshener'
66,'Odor Absorber'
67,'Volatile Compound'
68,'Flavor Enhancer'
69,'Texture Modifier'
70,'Stability Improver'
71,'pH Buffering Agent'
72,'Solubility Enhancer'
73,'Crystallization Promoter'
74,'Yield Improver'
75,'Foaming Booster'
76,'Humectant'
77,'Moisture Retention Agent'
78,'Skin Moisturizer'
79,'Hair Moisturizer'
80,'Textile Softener'
81,'pH Adjusting Agent'
82,'Anticaking Agent'
83,'Anti-foaming Agent'
84,'Fungicide'
85,'Pest Control Agent'
86,'Insect Repellent'
87,'Skin Discolorant'
88,'Hair Dye'
89,'Textile Finisher'
90,'Coating Agent'
91,'Corrosion Inhibitor'
92,'Biocide'
93,'Sanitizing Agent'
94,'Deodorizing Agent'
95,'Air Freshener'
96,'Odor Absorber'
97,'Volatile Compound'
98,'Flavor Enhancer'
99,'Texture Modifier'
100,'Stability Improver'
101,'pH Buffering Agent'
102,'Solubility Enhancer'
103,'Crystallization Promoter'
104,'Yield Improver'
105,'Foaming Booster'
106,'Humectant'
107,'Moisture Retention Agent'
108,'Skin Moisturizer'
109,'Hair Moisturizer'
110,'Textile Softener'
111,'pH Adjusting Agent'
112,'Anticaking Agent'
113,'Anti-foaming Agent'
114,'Fungicide'
115,'Pest Control Agent'
116,'Insect Repellent'
117,'Skin Discolorant'
118,'Hair Dye'
119,'Textile Finisher'
120,'Coating Agent'
121,'Corrosion Inhibitor'
122,'Biocide'
123,'Sanitizing Agent'
124,'Deodorizing Agent'
125,'Air Freshener'
126,'Odor Absorber'
127,'Volatile Compound'
128,'Flavor Enhancer'
129,'Texture Modifier'
130,'Stability Improver'
131,'pH Buffering Agent'
132,'Solubility Enhancer'
133,'Crystallization Promoter'
134,'Yield Improver'
135,'Foaming Booster'
136,'Humectant'
137,'Moisture Retention Agent'
138,'Skin Moisturizer'
139,'Hair Moisturizer'
140,'Textile Softener'
141,'pH Adjusting Agent'
142,'Anticaking Agent'
143,'Anti-foaming Agent'
144,'Fungicide'
145,'Pest Control Agent'
146,'Insect Repellent'
147,'Skin Discolorant'
148,'Hair Dye'
149,'Textile Finisher'
150,'Coating Agent'
151,'Corrosion Inhibitor'
152,'Biocide'
153,'Sanitizing Agent'
154,'Deodorizing Agent'
155,'Air Freshener'
156,'Odor Absorber'
157,'Volatile Compound'
158,'Flavor Enhancer'
159,'Texture Modifier'
160,'Stability Improver'
161,'pH Buffering Agent'
162,'Solubility Enhancer'
163,'Crystallization Promoter'
164,'Yield Improver'
165,'Foaming Booster'
166,'Humectant'
167,'Moisture Retention Agent'
168,'Skin Moisturizer'
169,'Hair Moisturizer'
170,'Textile Softener'
171,'pH Adjusting Agent'
172,'Anticaking Agent'
173,'Anti-foaming Agent'
174,'Fungicide'
175,'Pest Control Agent'
176,'Insect Repellent'
177,'Skin Discolorant'
178,'Hair Dye'
179,'Textile Finisher'
180,'Coating Agent'
181,'Corrosion Inhibitor'
182,'Biocide'
183,'Sanitizing Agent'
184,'Deodorizing Agent'
185,'Air Freshener'
186,'Odor Absorber'
187,'Volatile Compound'
188,'Flavor Enhancer'
189,'Texture Modifier'
190,'Stability Improver'
191,'pH Buffering Agent'
192,'Solubility Enhancer'
193,'Crystallization Promoter'
194,'Yield Improver'
195,'Foaming Booster'
196,'Humectant'
197,'Moisture Retention Agent'
198,'Skin Moisturizer'
199,'Hair Moisturizer'
200,'Textile Softener'